Date,Close
2021-06-16,38344.7233
2021-06-17,38087.2533
2021-06-18,35814.6417
2021-06-19,35519.7117
2021-06-20,35605.6800
2021-06-21,31651.5733
2021-06-22,32538.2550
2021-06-23,33690.3750
2021-06-24,34657.9733
2021-06-25,31586.9033
2021-06-26,32308.7250
2021-06-27,34708.9600
2021-06-28,34497.7550
2021-06-29,35918.8800
2021-06-30,35053.4183
2021-07-01,33524.9833
2021-07-02,33803.9650
2021-07-03,34684.1333
2021-07-04,35287.2033
2021-07-05,33694.7950
2021-07-06,34233.8467
2021-07-07,33876.6900
2021-07-08,32869.9583
2021-07-09,33805.3783
2021-07-10,33513.4867
2021-07-11,34254.0000
2021-07-12,33092.9250
2021-07-13,32727.9283
2021-07-14,32822.1817
2021-07-15,31870.0083
2021-07-16,31400.4217